year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2007,Estimated using AADF from previous year on this link,164,71,9684,65,1150,154,11124,8570
2006,Estimated using AADF from previous year on this link,262,74,9842,72,1093,165,11246,8570
2005,Manual count,167,85,10033,78,1077,176,11449,8570
2004,Estimated using AADF from previous year on this link,110,56,8227,38,744,323,9388,8570
2003,Estimated using AADF from previous year on this link,137,85,8121,47,675,265,9193,8570
2002,Estimated using AADF from previous year on this link,153,60,8433,48,622,270,9433,8570
2001,Estimated using AADF from previous year on this link,147,58,8300,48,581,282,9269,8570
2000,Manual count,154,55,8565,45,577,293,9535,8570
2024,Estimated using AADF from previous year on this link,3,45,3967,10,985,557,5564,8572
2023,Estimated using AADF from previous year on this link,3,46,3920,10,968,561,5504,8572
2022,Estimated using AADF from previous year on this link,3,49,3825,10,949,576,5410,8572
2021,Estimated using AADF from previous year on this link,3,44,3564,10,852,560,5030,8572
2020,Estimated using AADF from previous year on this link,4,43,3259,8,744,523,4577,8572
2019,Estimated using AADF from previous year on this link,3,58,4463,13,869,585,5987,8572
2018,Manual count,3,54,4453,13,872,581,5973,8572
2017,Estimated using AADF from previous year on this link,1,24,4865,30,1270,644,6833,8572
2016,Estimated using AADF from previous year on this link,1,25,4871,30,1201,628,6755,8572
2015,Estimated using AADF from previous year on this link,1,24,4811,31,1112,613,6591,8572
2014,Estimated using AADF from previous year on this link,1,25,4660,29,1017,579,6309,8572
2013,Estimated using AADF from previous year on this link,2,22,4601,27,965,572,6187,8572
2012,Estimated using AADF from previous year on this link,2,21,4602,25,928,572,6148,8572
2011,Estimated using AADF from previous year on this link,2,23,4603,24,886,576,6112,8572
2010,Estimated using AADF from previous year on this link,2,22,4567,26,817,590,6022,8572
2009,Estimated using AADF from previous year on this link,2,24,4680,24,798,583,6109,8572
2008,Manual count,2,23,4583,20,794,605,6025,8572
2007,Estimated using AADF from previous year on this link,6,49,4391,24,883,653,6000,8572
2006,Estimated using AADF from previous year on this link,6,51,4332,20,807,630,5840,8572
2005,Estimated using AADF from previous year on this link,6,48,4289,22,761,612,5732,8572
2004,Estimated using AADF from previous year on this link,6,52,4337,24,699,587,5699,8572
2003,Estimated using AADF from previous year on this link,6,49,4265,30,714,598,5656,8572
2002,Estimated using AADF from previous year on this link,7,38,4112,30,654,608,5442,8572
2001,Manual count,7,31,3946,28,632,587,5224,8572
2000,Estimated using AADF from previous year on this link,1,53,3660,32,723,477,4945,8572
2024,Estimated using AADF from previous year on this link,175,43,4428,239,921,52,5683,8573
2023,Estimated using AADF from previous year on this link,173,42,4362,238,905,52,5598,8573
2022,Estimated using AADF from previous year on this link,176,42,4282,235,890,52,5501,8573
2021,Estimated using AADF from previous year on this link,197,39,4009,219,821,51,5138,8573
2020,Estimated using AADF from previous year on this link,241,36,3639,212,753,47,4687,8573
2019,Estimated using AADF from previous year on this link,211,49,4790,336,853,54,6083,8573
2018,Manual count,192,53,4731,332,860,54,6030,8573
2017,Estimated using AADF from previous year on this link,92,51,4587,544,1309,77,6567,8573
2016,Estimated using AADF from previous year on this link,96,50,4621,582,1243,77,6574,8573
2015,Estimated using AADF from previous year on this link,103,51,4550,628,1138,76,6444,8573
2014,Estimated using AADF from previous year on this link,111,58,4462,583,1085,79,6267,8573
2013,Estimated using AADF from previous year on this link,114,61,4344,606,1015,76,6101,8573
2012,Estimated using AADF from previous year on this link,115,55,4383,580,976,75,6068,8573
2011,Estimated using AADF from previous year on this link,122,57,4452,533,965,73,6080,8573
2010,Estimated using AADF from previous year on this link,111,68,4465,564,865,71,6033,8573
2009,Manual count,110,71,4492,498,810,67,5938,8573
2008,Estimated using AADF from previous year on this link,74,69,4328,336,974,97,5804,8573
2007,Estimated using AADF from previous year on this link,66,72,4426,387,954,97,5936,8573
2006,Estimated using AADF from previous year on this link,106,75,4498,425,906,106,6010,8573
2005,Estimated using AADF from previous year on this link,68,86,4585,458,892,111,6132,8573
2004,Manual count,80,105,4806,485,837,105,6338,8573
2003,Estimated using AADF from previous year on this link,75,121,3745,659,908,107,5540,8573
2002,Estimated using AADF from previous year on this link,84,85,3889,677,836,110,5597,8573
2001,Estimated using AADF from previous year on this link,81,82,3828,672,780,116,5478,8573
2000,Estimated using AADF from previous year on this link,85,78,3950,642,775,121,5566,8573
2024,Estimated using AADF from previous year on this link,235,132,11990,21,2152,104,14398,8574
2023,Estimated using AADF from previous year on this link,233,128,11811,21,2114,103,14177,8574
2022,Estimated using AADF from previous year on this link,237,130,11593,20,2079,104,13926,8574
2021,Estimated using AADF from previous year on this link,264,119,10854,19,1917,101,13010,8574
2020,Estimated using AADF from previous year on this link,324,112,9852,18,1759,94,11836,8574
2019,Estimated using AADF from previous year on this link,283,152,12970,29,1993,107,15251,8574
2018,Estimated using AADF from previous year on this link,258,162,12810,29,2011,108,15119,8574
2017,Manual count,234,163,12952,32,1974,107,15228,8574
2016,Estimated using AADF from previous year on this link,194,154,12421,29,2361,112,15078,8574
2015,Estimated using AADF from previous year on this link,208,157,12231,32,2162,111,14692,8574
2014,Estimated using AADF from previous year on this link,224,178,11993,30,2061,114,14377,8574
2013,Estimated using AADF from previous year on this link,231,186,11676,31,1928,109,13931,8574
2012,Estimated using AADF from previous year on this link,234,167,11780,29,1855,107,13939,8574
2011,Estimated using AADF from previous year on this link,247,175,11967,27,1833,105,14107,8574
2010,Estimated using AADF from previous year on this link,224,208,12003,28,1642,102,13983,8574
2009,Estimated using AADF from previous year on this link,222,218,12075,25,1538,97,13953,8574
2008,Manual count,222,195,11815,25,1516,103,13654,8574
2007,Estimated using AADF from previous year on this link,80,144,11342,47,1204,105,12842,8574
2006,Manual count,127,150,11527,51,1143,113,12984,8574
2005,Estimated using AADF from previous year on this link,23,159,8927,42,1042,138,10308,8574
2004,Manual count,27,193,9357,44,978,131,10703,8574
2003,Estimated using AADF from previous year on this link,50,238,7622,26,937,106,8929,8574
2002,Manual count,56,167,7915,26,863,108,9079,8574
2001,Estimated using AADF from previous year on this link,71,117,9616,83,851,134,10801,8574
2000,Estimated using AADF from previous year on this link,75,112,9923,79,845,138,11097,8574
2024,Estimated using AADF from previous year on this link,53,137,16444,398,2153,417,19548,8575
2023,Estimated using AADF from previous year on this link,52,132,16199,396,2115,417,19260,8575
2022,Manual count,53,134,15900,393,2080,425,18931,8575
2021,Estimated using AADF from previous year on this link,37,68,15661,366,1843,536,18474,8575
2020,Estimated using AADF from previous year on this link,45,65,14215,354,1691,500,16825,8575
2019,Estimated using AADF from previous year on this link,39,87,18714,561,1916,569,21848,8575
2018,Manual count,36,93,18482,555,1933,567,21630,8575
2017,Estimated using AADF from previous year on this link,48,57,17473,516,1642,409,20097,8575
2016,Estimated using AADF from previous year on this link,50,57,17603,552,1560,406,20178,8575
2015,Estimated using AADF from previous year on this link,54,58,17332,596,1428,406,19821,8575
2014,Manual count,58,66,16996,553,1362,415,19392,8575
2013,Estimated using AADF from previous year on this link,67,89,17026,1121,1747,358,20342,8575
2012,Estimated using AADF from previous year on this link,68,89,17123,1192,1728,355,20487,8575
2011,Estimated using AADF from previous year on this link,72,99,17196,1109,1799,387,20590,8575
2010,Manual count,65,93,17283,1111,1745,381,20613,8575
2009,Estimated using AADF from previous year on this link,29,192,21370,848,2435,439,25284,8575
2008,Estimated using AADF from previous year on this link,29,203,21717,867,2249,450,25486,8575
2007,Estimated using AADF from previous year on this link,27,217,22138,859,2149,465,25828,8575
2006,Estimated using AADF from previous year on this link,42,215,23229,893,1970,467,26774,8575
2005,Estimated using AADF from previous year on this link,27,207,23160,907,1938,457,26669,8575
2004,Estimated using AADF from previous year on this link,32,205,23754,922,1889,475,27245,8575
2003,Estimated using AADF from previous year on this link,40,232,23707,991,1907,467,27304,8575
2002,Manual count,44,207,24043,1110,1749,438,27547,8575
2001,Estimated using AADF from previous year on this link,60,80,20531,1171,1783,543,24108,8575
2000,Estimated using AADF from previous year on this link,62,78,20128,1149,1790,553,23698,8575
2024,Manual count,155,725,27306,273,7573,1430,37306,8576
2023,Automatic counter,99,741,30148,298,8103,2134,41424,8576
2022,Manual count,96,692,28634,279,7559,2062,39226,8576
2021,Automatic counter,151,727,27714,390,9074,2876,40782,8576
2020,Automatic counter,169,675,27198,411,9007,2843,40134,8576
2019,Automatic counter,136,750,30363,416,8747,2789,43064,8576
2018,Automatic counter,144,705,30057,416,8684,2763,42625,8576
2017,Automatic counter,152,731,31431,452,8890,3015,44520,8576
2016,Estimated using AADF from previous year on this link,125,566,25239,378,7196,2533,35913,8576
2015,Estimated using AADF from previous year on this link,121,528,25771,357,6977,2372,36005,8576
2014,Manual count,105,557,25859,373,6706,2353,35847,8576
2013,Estimated using AADF from previous year on this link,35,421,30205,520,5313,2592,39051,8576
2012,Manual count,43,431,29944,564,5183,2487,38609,8576
2011,Estimated using AADF from previous year on this link,78,616,29643,620,6798,2259,39936,8576
2010,Manual count,78,620,29733,600,6832,2210,39995,8576
2009,Manual count,55,736,29050,339,6847,3091,40063,8576
2008,Estimated using AADF from previous year on this link,101,720,32085,637,8263,3350,45055,8576
2007,Estimated using AADF from previous year on this link,86,740,32839,626,8441,3410,46056,8576
2006,Estimated using AADF from previous year on this link,67,755,33340,624,8259,3024,46002,8576
2005,Estimated using AADF from previous year on this link,54,693,32738,595,8330,3062,45418,8576
2004,Estimated using AADF from previous year on this link,53,755,33103,557,8158,3164,45737,8576
2003,Estimated using AADF from previous year on this link,61,790,32710,488,8616,2878,45482,8576
2002,Manual count,42,764,33378,423,7825,3076,45466,8576
2001,Estimated using AADF from previous year on this link,41,653,26440,180,1274,6950,35497,8576
2000,Estimated using AADF from previous year on this link,37,604,26414,168,1270,6786,35242,8576
2024,Estimated using AADF from previous year on this link,59,397,24922,168,4396,1055,30939,8577
2023,Manual count,62,400,24626,168,4320,1060,30574,8577
2022,Manual count,42,417,24798,182,4073,1090,30560,8577
2021,Estimated using AADF from previous year on this link,107,189,30665,287,5900,1020,38061,8577
2020,Manual count,143,183,28041,242,5152,947,34566,8577
2019,Estimated using AADF from previous year on this link,49,355,26506,186,4789,687,32523,8577
2018,Manual count,41,331,26447,188,4805,683,32454,8577
2017,Estimated using AADF from previous year on this link,4,109,18902,38,5229,1086,25363,8577
2016,Estimated using AADF from previous year on this link,4,112,18925,39,4941,1055,25071,8577
2015,Estimated using AADF from previous year on this link,4,112,18692,40,4575,1010,24428,8577
2014,Estimated using AADF from previous year on this link,4,108,18145,40,4116,958,23368,8577
2013,Manual count,5,105,17737,36,3835,981,22693,8577
2012,Estimated using AADF from previous year on this link,47,130,19932,379,3301,850,24593,8577
2011,Manual count,50,134,20077,373,3170,837,24591,8577
2010,Manual count,48,303,24427,477,4281,867,30355,8577
2009,Manual count,56,384,25296,390,3698,647,30415,8577
2008,Estimated using AADF from previous year on this link,34,465,28233,341,4658,1374,35071,8577
2007,Estimated using AADF from previous year on this link,34,478,28433,335,4648,1383,35277,8577
2006,Estimated using AADF from previous year on this link,34,476,28634,355,4195,1347,35007,8577
